size,sparsity,build_index_time,get_at_rank_time,get_at_index_time,num_elem_at_time,size_bytes,overhead
100,0.005,0.00148,0.00415,0.00204,0.007,148,123
100,0.01,0.00134,0.00379,0.00174,0.00683,148,123
100,0.05,0.0014,0.00379,0.00228,0.00682,152,123
100,0.1,0.00126,0.00366,0.0027,0.00692,157,123
100,0.2,0.00129,0.0036,0.00338,0.00679,167,123
200,0.005,0.00192,0.00372,0.0016,0.00695,178,153
200,0.01,0.0018,0.00368,0.00165,0.00695,179,153
200,0.05,0.00189,0.00366,0.00226,0.00701,187,153
200,0.1,0.00179,0.00385,0.00273,0.00689,197,153
200,0.2,0.00193,0.00368,0.00408,0.00692,217,153
300,0.005,0.00215,0.00382,0.00153,0.00719,195,169
300,0.01,0.00205,0.00377,0.00179,0.00732,196,169
300,0.05,0.00211,0.00366,0.00191,0.0072,208,169
300,0.1,0.00224,0.00366,0.00262,0.00719,223,169
300,0.2,0.00204,0.00364,0.00384,0.00738,253,169
400,0.005,0.00264,0.0037,0.00174,0.00731,216,190
400,0.01,0.00258,0.00366,0.00181,0.00726,218,190
400,0.05,0.00271,0.0037,0.00207,0.00714,234,190
400,0.1,0.00266,0.00365,0.00302,0.00732,254,190
400,0.2,0.00265,0.00378,0.00442,0.00717,294,190
500,0.005,0.00352,0.00375,0.0016,0.00724,247,220
500,0.01,0.00357,0.00369,0.00172,0.00719,249,220
500,0.05,0.0036,0.0038,0.00256,0.00713,269,220
500,0.1,0.00363,0.0038,0.00262,0.00705,294,220
500,0.2,0.00355,0.00384,0.00336,0.00697,344,220
1000,0.005,0.005569,0.00376,0.00155,0.00721,350,321
1000,0.01,0.0055,0.00367,0.00184,0.00731,355,321
1000,0.05,0.00534,0.00357,0.00254,0.00731,395,321
1000,0.1,0.00519,0.003639,0.00266,0.00731,445,321
1000,0.2,0.0054,0.00372,0.00371,0.0073,545,321
1500,0.005,0.00774,0.00371,0.00201,0.007309,457,425
1500,0.01,0.00732,0.00379,0.00162,0.00729,464,425
1500,0.05,0.0074,0.0037,0.00218,0.0073,524,425
1500,0.1,0.00745,0.00374,0.00316,0.0073,599,425
1500,0.2,0.00728,0.00373,0.00391,0.00746,749,425
2000,0.005,0.00976,0.00372,0.00156,0.00729,566,532
2000,0.01,0.0096,0.00368,0.00194,0.00733,576,532
2000,0.05,0.00962,0.00373,0.002,0.00717,656,532
2000,0.1,0.0096,0.00374,0.00304,0.007259,756,532
2000,0.2,0.009819,0.00363,0.004,0.00768,956,532
2500,0.005,0.01111,0.00371,0.00154,0.00714,661,624
2500,0.01,0.0108,0.00369,0.0015,0.00721,673,624
2500,0.05,0.0109,0.00369,0.00228,0.00723,773,624
2500,0.1,0.010849,0.00369,0.00292,0.00711,898,624
2500,0.2,0.01119,0.00372,0.00386,0.00747,1148,624
5000,0.005,0.02035,0.00371,0.00165,0.00768,1159,1110
5000,0.01,0.01999,0.00377,0.00189,0.00734,1184,1110
5000,0.05,0.01989,0.00376,0.00206,0.00749,1384,1110
5000,0.1,0.02007,0.0038,0.00307,0.00749,1634,1110
5000,0.2,0.01996,0.0038,0.00363,0.00782,2134,1110
7500,0.005,0.030509,0.00363,0.00153,0.00754,1679,1617
7500,0.01,0.03017,0.00368,0.00151,0.00769,1716,1617
7500,0.05,0.030279,0.00377,0.00265,0.0074,2016,1617
7500,0.1,0.02984,0.00371,0.00265,0.00746,2391,1617
7500,0.2,0.03041,0.00391,0.00411,0.00852,3141,1617
10000,0.005,0.03734,0.00378,0.00158,0.00736,2148,2074
10000,0.01,0.03964,0.00393,0.00153,0.0076,2198,2074
10000,0.05,0.03691,0.00372,0.00216,0.00758,2598,2074
10000,0.1,0.03661,0.00375,0.0034,0.00747,3098,2074
10000,0.2,0.03638,0.00378,0.0038,0.00753,4098,2074
12500,0.005,0.04535,0.003669,0.00153,0.00749,2641,2554
12500,0.01,0.045019,0.00375,0.0018,0.00741,2703,2554
12500,0.05,0.04532,0.00383,0.00246,0.00738,3203,2554
12500,0.1,0.04533,0.00368,0.00233,0.00758,3828,2554
12500,0.2,0.04575,0.00382,0.00346,0.00744,5078,2554
25000,0.005,0.08536,0.00363,0.0015,0.00762,5050,4901
