n,rank_time,select_time,overhead
100,0.00693,0.044879,198
200,0.00686,0.05056,328
300,0.00711,0.057189,360
400,0.00714,0.06029,432
500,0.00755,0.059269,576
1000,0.00744,0.06657,872
1500,0.00772,0.070479,1216
2000,0.00757,0.073409,1568
2500,0.00734,0.076229,1800
5000,0.0076,0.085789,3192
7500,0.00743,0.0875,4752
10000,0.0077,0.092109,5896
12500,0.00785,0.092099,7240
25000,0.00794,0.09969,13512
37500,0.00721,0.100129,23592
50000,0.00728,0.10101,31432
62500,0.00711,0.102169,39272
125000,0.00777,0.116789,73682
187500,0.00784,0.117999,104292
250000,0.007609,0.12088,139032
312500,0.00768,0.126879,164612
625000,0.00817,0.135259,312672
937500,0.00788,0.133449,468872
1250000,0.007909,0.14247,595422
1562500,0.00803,0.142319,744312
3125000,0.00852,0.150799,1420612
4687500,0.00866,0.158569,2038332
6250000,0.00869,0.162269,2717522
7812500,0.00871,0.161729,3396942
15625000,0.00882,0.177109,6510552
23437500,0.00867,0.172799,9375072
31250000,0.008879,0.178059,12500072
39062500,0.01037,0.185819,15024172
78125000,0.024909,0.243389,28935432
117187500,0.01386,0.204409,43403112
156250000,0.02487,0.267578,55803792
